Postal code,Place,Bad isolated parts of the house,Date,Amount of money,Measures,Do-it-yourself?,Ventilation measure?,buurt-naam,Disctrict CBS
8012CW,Zwolle,Dak Gevel Ramen Vloer Zolder,02/03/2025,1300,Dakisolatie binnenzijde (meer dan 20 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2),Nee,Ja,Nieuw-Assendorp,Assendorp
8042MK,Zwolle,Dak Gevel Ramen Vloer Zolder,09/03/2025,1300,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Westenholte-Stins,Westenholte
8012VW,Zwolle,Dak Gevel Ramen Vloer Zolder,14/03/2025,1300,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8012DW,Zwolle,Gevel Ramen Vloer Zolder,07/12/2024,1235,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8021BD,Zwolle,Dak Gevel Ramen Vloer Zolder,05/02/2024,1000,Bodemisolatie (meer dan 20 m2),Nee,Nee,Bagijneweide,Diezerpoort
8032BN,Zwolle,Dak Gevel Ramen Vloer Zolder,06/02/2024,1000,Dakisolatie buitenzijde (meer dan 20 m2) Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Aa-landen-Zuid,Aa-landen
8021XR,Zwolle,Dak Vloer Zolder,06/02/2024,1000,Vloerisolatie (meer dan 20 m2) Zolder- of vlieringvloerisolatie (meer dan 20 m2),Nee,Nee,Bollebieste,Diezerpoort
8014PB,Zwolle,Dak Gevel Vloer Zolder,06/02/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Ittersumerlanden,Ittersum
8042AV,Zwolle,Gevel Ramen Vloer Zolder,07/02/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Westenholte,Westenholte
8032CJ,Zwolle,Dak Gevel Vloer Zolder,08/02/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Aa-landen-Zuid,Aa-landen
8012AX,Zwolle,Dak Gevel Ramen Vloer Zolder,08/02/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2) Dakisolatie buitenzijde (meer dan 20 m2) Vloerisolatie (meer dan 20 m2) Zolder- of vlieringvloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8013TE,Zwolle,Dak Gevel Ramen Vloer Zolder,08/02/2024,1000,Dakisolatie buitenzijde (meer dan 20 m2) Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2) Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2),Nee,Ja,Pierik,Assendorp
8031GP,Zwolle,Dak Gevel Ramen Vloer Zolder,08/02/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Holtenbroek II,Holtenbroek
8012WB,Zwolle,Dak Gevel Ramen Vloer Zolder,09/02/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8032MR,Zwolle,Dak Gevel Vloer Zolder,10/02/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2),Ja,Nee,Aa-landen-Noord,Aa-landen
8012XN,Zwolle,Ramen Zolder,12/02/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8012WB,Zwolle,Dak Gevel Ramen Vloer Zolder,13/02/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2) Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2) Zolder- of vlieringvloerisolatie (meer dan 20 m2),Ja,Nee,Oud-Assendorp,Assendorp
8012VN,Zwolle,Gevel Ramen Vloer Zolder,15/02/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Assendorp,Assendorp
