OBJECTID,Programma,Projectnummer,Adress,Postal Code,Maximale_subsidie,Indienronde,Realisatiejaar,Kwartaal,Aanvrager,Status,Vermogen,Looptijd,Rechtsvorm,Provincie,Latitude,Longitude,Categorie,Thema,label,RES_regio,Gemeente,Plaats,x,y
18649,SDE,SDE1755467,Lingenstraat 1,8028 PM,"798,998",2017,2022,Q1,Klein Holding Vastgoed B.V.,Gerealiseerd,0.63,15,BV,Overijssel,52.53467,6.1675392,Zonne-energie,Zon-PV >= 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.167538873,52.53466976
18756,SDE,SDE1757778,Botterweg 16,8042 PA,"119,928",2017,2020,Q2,HMO,Gerealiseerd,0.09248,15,NV,Overijssel,52.515632,6.0572346,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.057233669,52.51563158
18950,SDE,SDE1761295,***,8013**,"98,753",2017,2019,Q1,Geanonimiseerd,Gerealiseerd,0.0825,15,VOF,Overijssel,52.504722,6.1225094,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.122508756,52.50472161
19216,SDE,SDE1766422,Russenweg 24,8041 AL,"282,504",2017,2020,Q2,B.V. Leeuwbouw,Gerealiseerd,0.22275,15,BV,Overijssel,52.514537,6.0658382,Zonne-energie,Zon-PV,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.065837306,52.51453657
19246,SDE,SDE1766928,Ravensburgstraat 4,8028 PZ,"879,795",2017,2019,Q4,Koninklijke Euroma B.V.,Gerealiseerd,0.735,15,BV,Overijssel,52.544049,6.1764078,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.176407542,52.54404879
19314,SDE,SDE1768074,Curieweg 1,8013 RA,"235,895",2017,2020,Q1,Naproz B.V.,Gerealiseerd,0.186,15,BV,Overijssel,52.500033,6.1299002,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.129899575,52.50003261
19329,SDE,SDE1768276,Hyacinthstraat 66a,8013 XZ,"28,728",2017,2020,Q1,"Vogellanden, centrum voor Revalidatie en Bijzondere Tandheelkunde",Gerealiseerd,0.024,15,STICH,Overijssel,52.502694,6.1188548,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.118854132,52.50269359
19334,SDE,SDE1768373,Nieuwe Deventerweg 129,8014 AE,"34,713",2017,2019,Q3,KWS Infra Zwolle,Gerealiseerd,0.029,15,BV,Overijssel,52.486958,6.1148244,Zonne-energie,Zon-PV,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.114823663,52.48695756
19589,SDE,SDE1773095,Bedrijventerrein Hessenpoort,,"5,094,090",2017,2020,Q1,Zonneweide Hessenpoort B.V.,Gerealiseerd,3.972,15,BV,Overijssel,52.5072,6.097708,Zonne-energie,Zon-PV >= 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.097707242,52.50719956
19662,SDE,SDE1774279,Nipkowstraat 1b,8013 RJ,"134,435",2017,2019,Q1,Pvefh SPV 4 B.V.,Gerealiseerd,0.106,15,BV,Overijssel,52.494547,6.1390944,Zonne-energie,Zon-PV < 1 MWp,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.139093795,52.49454663
