Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],year
Windesheim,7,0.5,0.2,0.4,0.63,0.2,2,25,2017
Harculo en Hoog-Zuthem,10,0.5,0.2,0.5,0.63,0.2,0,30,2017
Binnenstad-Zuid,49,3.2,1.4,2.8,0.68,0.21,14,0,2018
Binnenstad-Noord,17,1.1,0.5,1,0.68,0.21,6,0,2018
Noordereiland,12,0.8,0.3,0.7,0.68,0.21,0,45,2018
Het Noorden,27,1.5,0.6,1.5,0.68,0.21,0,5,2018
Schildersbuurt,5,0.4,0.2,0.3,0.68,0.21,0,5,2018
Bollebieste,32,1.9,0.8,1.8,0.68,0.21,0,125,2018
Dieze-Centrum,19,1.2,0.5,1.1,0.68,0.21,0,15,2018
Bagijneweide,15,1.1,0.5,0.9,0.68,0.21,0,20,2018
Hogenkamp,59,3.5,1.5,3.4,0.68,0.21,20,130,2018
Indischebuurt,16,1.1,0.5,0.9,0.68,0.21,0,50,2018
Meppelerstraatweg-Zuid,6,0.4,0.2,0.3,0.68,0.21,0,?,2018
Bedrijventerrein Floresstraat,5,0.4,0.2,0.3,0.68,0.21,0,20,2018
Wipstrik-Noord,64,3.5,1.5,3.6,0.68,0.21,0,100,2018
Wipstrik-Zuid,64,4.2,1.8,3.6,0.68,0.21,0,85,2018
Stationsbuurt,29,1.6,0.7,1.6,0.68,0.21,0,35,2018
Oud-Assendorp,79,4.5,2.0,4.5,0.68,0.21,0,105,2018
Nieuw-Assendorp,55,3.1,1.3,3.1,0.68,0.21,0,60,2018
Wezenlanden,16,0.8,0.4,0.9,0.68,0.21,0,120,2018
Pierik,38,2.1,0.9,2.1,0.68,0.21,0,260,2018
Bedrijventerrein Marslanden-Noord,?,0.0,0.0,?,0.68,0.21,?,5,2018
Hanzeland,13,1.2,0.5,0.7,0.68,0.21,0,40,2018
Kamperpoort,21,1.6,0.7,1.2,0.68,0.21,0,115,2018
Veerallee,33,1.9,0.8,1.9,0.68,0.21,13,160,2018
Bedrijventerrein Voorst-A,1,0.1,0.0,0.1,0.68,0.21,0,?,2018
Bedrijventerrein Voorst-B,?,0.0,0.0,?,0.68,0.21,?,?,2018
Spoolde,7,0.4,0.2,0.4,0.68,0.21,1,25,2018
Oud-Westenholte,42,2.7,1.2,2.4,0.68,0.21,30,145,2018
