postcode_agg,plaats,gemeentenaam,gemeentecode,wijknaam,buurtnaam,deelprogramma,subsidiejaar,techniek,subcategorie,aantal_adressen,totale_vermogen,aantal_m2,aantal_app
8011HK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2021.0,Vloerisolatie,Bodemisolatie,1.0,,28.0,
8011HK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2021.0,Vloerisolatie,Vloerisolatie,1.0,,47.0,
8011HK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8011HK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,1.0,,38.0,
8011HK,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2023.0,Vloerisolatie,Bodemisolatie,2.0,,70.0,
8011JA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2022.0,Dakisolatie,Dakisolatie,1.0,,80.0,
8011JA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,50.0,
8011JA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8011JA,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,50.0,
8011JE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2022.0,Dakisolatie,Dakisolatie,1.0,,82.0,
8011JE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie,1.0,,14.0,
8011JE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8011JE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2022.0,Vloerisolatie,Bodemisolatie,1.0,,32.0,
8011JE,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Oud-Assendorp,PARTICULIEREN,2024.0,Dakisolatie,Dakisolatie,1.0,,82.0,
8011JL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Dakisolatie,Zolder- of vlieringvloer,1.0,,35.0,
8011JL,ZWOLLE,Zwolle,193.0,Wijk 13 Assendorp,Stationsbuurt,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
