datum_afspraak_coachgesprek,postcode,telling,valid_postcode,latitude,longitude
2024-11-18,8015AL,138,True,52.4729781,6.1183772
2024-11-18,8031JR,139,True,52.527457,6.0802581
2024-11-19,8032XM,140,True,52.5342215,6.0936125
2024-11-20,8012WV,141,True,52.5057871,6.1038425
2024-11-21,8032KM,142,True,52.5340347,6.1055211
2024-11-21,8032ZL,143,True,52.5350434,6.0987949
2024-11-22,8032XK,144,True,52.533501,6.0941386
2024-11-22,8032LA,145,True,52.5346101,6.0918267
2024-11-22,8012XA,146,True,52.505307,6.1054414
2024-11-25,8043AT,147,True,52.532983,6.0684487
2024-11-26,8023CP,148,True,52.5133384,6.1171273
2024-11-26,8031WL,149,True,52.5289416,6.0881041
2024-11-27,8033GB,150,True,52.5310213,6.1103183
2024-11-29,8023DA,151,True,52.5131832,6.1137695
2024-11-29,8032HX,152,True,52.5309549,6.1012991
2024-03-12,8032CW,153,True,52.5280942,6.1106181
2024-05-12,8042ME,154,True,52.5167441,6.0493328
2024-06-12,8032XD,155,True,52.5338082,6.0919257
2024-09-12,8042GZ,156,True,52.5220243,6.0456937
2024-12-12,8017JB,157,True,52.5015206,6.0935362
2024-12-13,8012EH,158,True,52.5070629,6.1027299
2024-12-16,8032XX,159,True,52.5356881,6.1039357
2024-12-17,8032AJ,160,True,52.525125,6.1026016
2024-12-19,8032ET,161,True,52.5319909,6.0964371
2024-12-19,8032EK,162,True,52.5299115,6.0952139
2024-12-22,8043NX,163,True,52.5406983,6.0595305
2024-12-23,8031KW,164,True,52.5277022,6.0868792
2024-12-28,8033AA,165,True,52.5317337,6.1098864
2024-12-30,8032AL,166,True,52.5258699,6.1019723
2024-12-30,8033BK,167,True,52.5334597,6.1124781
