telling,datum_afspraak_coachgesprek,postcode,latitude,longitude
111,2023-10-27,8012VH,52.50731582857143,6.102129478571428
112,2023-10-30,8014TM,52.479620133333334,6.115305206666667
113,2023-10-30,8032KX,52.530025994736846,6.1066130526315785
114,2023-10-31,8032EE,52.52917831,6.09809185
115,2023-03-11,8032TV,52.537690772727274,6.100186186363636
116,2023-05-11,8031JM,52.52758555,6.07957135
117,2023-10-11,8031JB,52.52872229565217,6.076690865217391
118,2023-11-14,8014ZG,52.486541233333334,6.106891153333333
119,2023-11-14,8033AB,52.53200976666667,6.10974495
120,2023-11-14,8032GA,52.5301648882353,6.0980251
121,2023-11-14,8032GA,52.5301648882353,6.0980251
122,2023-11-15,8043TW,52.53845341125,6.0349070475
123,2023-11-16,8033BZ,52.53035508947368,6.112385594736842
124,2023-11-21,8042GL,52.520742391666666,6.042213775
125,2023-11-24,8043RW,52.53428603333333,6.044882973333333
126,2023-11-24,8013TB,52.49998645,6.11226869
127,2023-11-25,8032AH,52.525026885,6.10169039
128,2023-11-28,8042AB,52.525012595238096,6.0511786857142855
129,2023-11-29,8017BB,52.498314275,6.100642675
130,2023-11-30,8031ZP,52.52359969444444,6.084709294444445
131,2023-02-12,8032CK,52.527118905882354,6.111417323529412
132,2023-05-12,8032CJ,52.527198985000005,6.10981125
133,2023-07-12,8032KM,52.53403466666667,6.105521095238095
134,2023-08-12,8031EW,52.523767696,6.083759712
135,2023-08-12,8031AV,52.52250920625,6.087464075
136,2023-12-13,8042AM,52.525341573333336,6.04739504
137,2023-12-15,8033CP,52.53806194166667,6.110729833333334
138,2023-12-18,8032KM,52.53403466666667,6.105521095238095
139,2023-12-20,8043KP,52.537847884375,6.054737703125
140,2023-12-20,8032NK,52.5399881875,6.09644878125
141,2023-12-21,8033EB,52.537103019999996,6.1079581450000004
142,2023-12-22,8011AP,52.51209254285714,6.082825971428572
143,2023-12-22,8031JH,52.528804330769226,6.077953030769231
144,2023-12-23,8031AV,52.52250920625,6.087464075
145,2023-12-27,8032LM,52.537457640909096,6.090434222727272
1,2024-03-01,8042BB,52.52553033333333,6.047837866666667
2,2024-05-01,8023AG,52.514895496,6.110943808
3,2024-08-01,8016BC,52.48185134444444,6.104830944444445
4,2024-09-01,3851BK,52.28962036875,5.612364125
5,2024-10-01,8042AX,52.52103357368421,6.052812289473684
6,2024-11-01,8033DM,52.538511539999995,6.1059556950000005
7,2024-12-01,8014CA,52.491939848,6.109323596
8,2024-12-01,8042AL,52.525246105,6.04649707
9,2024-12-01,8033CG,52.537362314999996,6.110719375
10,2024-12-01,8042MH,52.51640678260869,6.0465371
11,2024-01-15,8017DM,52.49760446818182,6.08682855
12,2024-01-15,8016LM,52.47652853448276,6.102609979310345
13,2024-01-16,8013AH,52.50326324285714,6.112397271428572
14,2024-01-16,8012WK,52.50514351578947,6.097225107894737
15,2024-01-17,8043ZW,52.5271382425,6.0694185350000005
16,2024-01-19,8032AE,52.52494907,6.10097369
17,2024-01-22,8017DM,52.49760446818182,6.08682855
18,2024-01-22,8032LN,52.538357125,6.091970725
19,2024-01-23,8016MG,52.47509087272727,6.108542836363637
20,2024-01-26,8023AJ,52.51617840952381,6.113024066666666
21,2024-01-27,8032CC,52.52848376666667,6.110788925
22,2024-01-29,8016LL,52.477764263157894,6.1050874578947365
23,2024-01-30,8033DC,52.53913934285714,6.109746435714285
24,2024-01-02,8032CV,52.52753795294118,6.109170088235294
25,2024-08-02,8012DT,52.50583846875,6.10301154375
26,2024-09-02,8016MK,52.47314188,6.107689135
27,2024-09-02,8031PA,52.52337162424242,6.080337463636363
28,2024-12-02,8032XG,52.534789814285716,6.0921179
29,2024-02-13,8031ZG,52.524546265217396,6.0877847
30,2024-02-13,8014SB,52.478060925,6.110725425
31,2024-02-16,8032TX,52.53707322727273,6.1002626636363635
32,2024-02-18,8043KE,52.535345095,6.054179635000001
33,2024-02-20,8017LV,52.492445573333335,6.0994224
34,2024-02-20,8012AE,52.50124490909091,6.1047147
35,2024-02-20,8012VZ,52.50395542727272,6.100255427272727
36,2024-02-20,8023CW,52.513326095,6.114167215
37,2024-02-22,8042GZ,52.52202431052632,6.045693721052632
38,2024-02-23,8016MA,52.47714960740741,6.109161955555555
39,2024-02-27,8015BL,52.474833147058824,6.1190883
40,2024-02-27,8012AE,52.50124490909091,6.1047147
41,2024-02-27,8012XH,52.50148823888889,6.108609172222223
42,2024-02-27,8032EL,52.530579509375,6.095283209375
43,2024-02-28,8031JL,52.52891968125,6.07859008125
44,2024-02-28,8021DP,52.518042333333334,6.092278533333333
45,2024-02-28,8032EJ,52.53002004285714,6.094140485714286
46,2024-02-28,8042AV,52.5221020625,6.049312733333333
47,2024-02-29,8031ZV,52.524331446153845,6.084682515384615
48,2024-01-03,8043EW,52.53511631666667,6.061316688888889
49,2024-01-03,8017AV,52.4948513525,6.101799845
50,2024-01-03,8023TT,52.512645675,6.109377441666666
51,2024-04-03,8033CJ,52.536844765384615,6.109644888461538
52,2024-04-03,8032AL,52.525869905,6.10197225
53,2024-05-03,8014DE,52.489046185,6.113409795
54,2024-05-03,8032ND,52.53984876956522,6.093877552173914
55,2024-06-03,8015DX,52.47750115,6.11618638125
56,2024-06-03,8012ES,52.50526734583333,6.109725
57,2024-06-03,8033DM,52.538511539999995,6.1059556950000005
58,2024-07-03,8011GP,52.50546490869565,6.093764791304348
59,2024-08-03,8016LE,52.477200339999996,6.103201038181818
60,2024-08-03,8017DA,52.499068441666665,6.0841109583333335
61,2024-08-03,8033BT,52.53577743571429,6.113281135714286
62,2024-11-03,8012TT,52.507429856,6.098779668
63,2024-12-03,8023TT,52.512645675,6.109377441666666
64,2024-03-14,8012XG,52.501477775,6.10818233125
65,2024-03-14,8012XG,52.501477775,6.10818233125
66,2024-03-15,8012XG,52.501477775,6.10818233125
67,2024-03-18,8033AX,52.535084375,6.1115039125
68,2024-03-20,8032MP,52.53713428666667,6.095580086666667
69,2024-03-21,8016HK,52.49077783125,6.10297385
70,2024-03-23,8014MK,52.48241910833333,6.119285320833334
71,2024-03-28,8042AD,52.525783948739495,6.051096955462184
72,2024-03-28,8224HP,52.50990721111111,5.495955422222222
73,2024-03-30,8033DG,52.54033305,6.10859606
