postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude
8011GL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.50594516818182,6.0936646136363635
8011GL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Glasisolatie,HR++ glas U <= 1,52.50594516818182,6.0936646136363635
8011GL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Vloerisolatie,Vloerisolatie,52.50594516818182,6.0936646136363635
8011GP,Wijk 13 Assendorp,Stationsbuurt,2022.0,Dakisolatie,Dakisolatie,52.50546490869565,6.093764791304348
8011GP,Wijk 13 Assendorp,Stationsbuurt,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,52.50546490869565,6.093764791304348
8011GP,Wijk 13 Assendorp,Stationsbuurt,2023.0,Vloerisolatie,Vloerisolatie,52.50546490869565,6.093764791304348
8011GR,Wijk 13 Assendorp,Stationsbuurt,2024.0,Warmtepomp,Lucht-water >= 3,52.505314639999995,6.094701993333333
8011GS,Wijk 13 Assendorp,Stationsbuurt,2023.0,Glasisolatie,HR++ glas U <= 1,52.506152030434784,6.0937002
8011GS,Wijk 13 Assendorp,Stationsbuurt,2024.0,Vloerisolatie,Vloerisolatie,52.506152030434784,6.0937002
8011GT,Wijk 13 Assendorp,Stationsbuurt,2023.0,Glasisolatie,HR++ glas U <= 1,52.505746921052626,6.094575331578947
8011GT,Wijk 13 Assendorp,Stationsbuurt,2024.0,Spouwmuurisolatie,Spouwmuurisolatie,52.505746921052626,6.094575331578947
8011GV,Wijk 13 Assendorp,Stationsbuurt,2021.0,Dakisolatie,Dakisolatie,52.50656774615384,6.093641623076923
8011GV,Wijk 13 Assendorp,Stationsbuurt,2021.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.50656774615384,6.093641623076923
8011GV,Wijk 13 Assendorp,Stationsbuurt,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,52.50656774615384,6.093641623076923
8011GV,Wijk 13 Assendorp,Stationsbuurt,2023.0,Vloerisolatie,Bodemisolatie,52.50656774615384,6.093641623076923
8011HA,Wijk 13 Assendorp,Stationsbuurt,2024.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.50686777647059,6.094350729411764
8011HA,Wijk 13 Assendorp,Stationsbuurt,2024.0,Vloerisolatie,Vloerisolatie,52.50686777647059,6.094350729411764
8011HC,Wijk 13 Assendorp,Stationsbuurt,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.506769468181815,6.094217686363637
8011HC,Wijk 13 Assendorp,Stationsbuurt,2022.0,Vloerisolatie,Vloerisolatie,52.506769468181815,6.094217686363637
8011HG,Wijk 13 Assendorp,Stationsbuurt,2023.0,Dakisolatie,Dakisolatie,52.50748743333333,6.094557133333334
8011HG,Wijk 13 Assendorp,Stationsbuurt,2023.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.50748743333333,6.094557133333334
8011HG,Wijk 13 Assendorp,Stationsbuurt,2023.0,Glasisolatie,HR++ glas U <= 1,52.50748743333333,6.094557133333334
8011HK,Wijk 13 Assendorp,Stationsbuurt,2021.0,Spouwmuurisolatie,Spouwmuurisolatie,52.50690064,6.09482033
8011HK,Wijk 13 Assendorp,Stationsbuurt,2021.0,Vloerisolatie,Bodemisolatie,52.50690064,6.09482033
8011HK,Wijk 13 Assendorp,Stationsbuurt,2021.0,Vloerisolatie,Vloerisolatie,52.50690064,6.09482033
8011HK,Wijk 13 Assendorp,Stationsbuurt,2023.0,Glasisolatie,HR++ glas U <= 1,52.50690064,6.09482033
8011HK,Wijk 13 Assendorp,Stationsbuurt,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,52.50690064,6.09482033
8011HK,Wijk 13 Assendorp,Stationsbuurt,2023.0,Vloerisolatie,Bodemisolatie,52.50690064,6.09482033
8011JA,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Dakisolatie,Dakisolatie,52.50835677692308,6.096186592307692
8011JA,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.50835677692308,6.096186592307692
8011JA,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Glasisolatie,HR++ glas U <= 1,52.50835677692308,6.096186592307692
8011JA,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Vloerisolatie,Vloerisolatie,52.50835677692308,6.096186592307692
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Dakisolatie,Dakisolatie,52.50542875,6.095771376923077
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.50542875,6.095771376923077
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Glasisolatie,HR++ glas U <= 1,52.50542875,6.095771376923077
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Vloerisolatie,Bodemisolatie,52.50542875,6.095771376923077
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Dakisolatie,Dakisolatie,52.50542875,6.095771376923077
8011JL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Dakisolatie,Zolder- of vlieringvloer,52.50518021,6.095385145000001
8011JL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Glasisolatie,HR++ glas U <= 1,52.50518021,6.095385145000001
8011JL,Wijk 13 Assendorp,Stationsbuurt,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,52.50518021,6.095385145000001
