postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN
8011HK,Wijk 13 Assendorp,Stationsbuurt,2023,Spouwmuurisolatie,Spouwmuurisolatie,52.50690064,6.09482033,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011HK,Wijk 13 Assendorp,Stationsbuurt,2023,Vloerisolatie,Bodemisolatie,52.50690064,6.09482033,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011JA,Wijk 13 Assendorp,Oud-Assendorp,2022,Dakisolatie,Dakisolatie,52.50835678,6.096186592,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JA,Wijk 13 Assendorp,Oud-Assendorp,2022,Gevelisolatie,Binnen- of buitengevelisolatie,52.50835678,6.096186592,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JA,Wijk 13 Assendorp,Oud-Assendorp,2022,Glasisolatie,HR++ glas U <= 1,52.50835678,6.096186592,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JA,Wijk 13 Assendorp,Oud-Assendorp,2022,Vloerisolatie,Vloerisolatie,52.50835678,6.096186592,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2022,Dakisolatie,Dakisolatie,52.50542875,6.095771377,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2022,Gevelisolatie,Binnen- of buitengevelisolatie,52.50542875,6.095771377,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2022,Glasisolatie,HR++ glas U <= 1,52.50542875,6.095771377,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2022,Vloerisolatie,Bodemisolatie,52.50542875,6.095771377,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JE,Wijk 13 Assendorp,Oud-Assendorp,2024,Dakisolatie,Dakisolatie,52.50542875,6.095771377,59,138,131,Oud Assendorp,Oud-Assendorp,407812.988,3495.354215
8011JL,Wijk 13 Assendorp,Stationsbuurt,2022,Dakisolatie,Zolder- of vlieringvloer,52.50518021,6.095385145,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011JL,Wijk 13 Assendorp,Stationsbuurt,2022,Glasisolatie,HR++ glas U <= 1,52.50518021,6.095385145,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011JL,Wijk 13 Assendorp,Stationsbuurt,2022,Spouwmuurisolatie,Spouwmuurisolatie,52.50518021,6.095385145,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011JL,Wijk 13 Assendorp,Stationsbuurt,2022,Vloerisolatie,Vloerisolatie,52.50518021,6.095385145,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
8011JL,Wijk 13 Assendorp,Stationsbuurt,2023,Vloerisolatie,Vloerisolatie,52.50518021,6.095385145,8,87,130,Stationsbuurt,Stationsbuurt,366929.9888,2935.430268
