projectnummer,programma,realisatiejaar,categorie,maximale_subsidie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
SDE1820614,SDE,2021,Zonne-energie,"579,548",52.471081,6.1084907,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
SDE1821091,SDE,2020,Zonne-energie,"26,163",52.51334,6.083944,4.0,83.0,140.0,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
SDE1821296,SDE,2020,Zonne-energie,"117,093",52.500033,6.1299002,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1822155,SDE,2019,Zonne-energie,"134,963",52.499075,6.1239317,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1822538,SDE,2019,Zonne-energie,"145,350",52.583911,6.1922607,37.0,116.0,322.0,Haerst,Haerst,13150215.9604373,25404.8628740021,Haerst
SDE1822875,SDE,2019,Zonne-energie,"60,648",52.4922,6.1073333,28.0,107.0,514.0,Gerenlanden,Gerenlanden,576134.216672914,3190.04007847442,Gerenlanden
SDE1823332,SDE,2020,Zonne-energie,"148,428",52.500024,6.1102217,27.0,106.0,134.0,Pierik,Pierik,629634.364278195,3566.68693677521,Pierik
SDE1823419,SDE,2021,Zonne-energie,"234,185",52.534548,6.0490296,0.0,79.0,223.0,Werkeren,Werkeren,947984.770313538,4608.40478470321,Werkeren
SDE1823805,SDE,2020,Zonne-energie,"467,187",52.461786,6.1451947,33.0,112.0,521.0,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
SDE1825179,SDE,2022,Zonne-energie,"532,238",52.478497,6.1273252,33.0,112.0,521.0,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
SDE1825987,SDE,2021,Zonne-energie,"17,158,824",52.5072,6.097708,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
SDE1827899,SDE,2021,Zonne-energie,"151,207",52.511849,6.0512535,3.0,82.0,214.0,Bedrijventerrein Voorst-D,Bedrijventerrein Voorst-D,355700.870762775,2473.88723807002,Bedrijventerrein Voorst-D
SDE1828650,SDE,2021,Zonne-energie,"59,138",52.534548,6.0490296,0.0,79.0,223.0,Werkeren,Werkeren,947984.770313538,4608.40478470321,Werkeren
SDE1828745,SDE,2021,Zonne-energie,"317,205",52.49111,6.1367629,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1828977,SDE,2019,Zonne-energie,"75,953",52.544049,6.1764078,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE1829178,SDE,2020,Zonne-energie,"211,228",52.490822,6.1408806,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1910975,SDE,2021,Zonne-energie,"117,563",52.539386,6.0322984,66.0,145.0,226.0,Breecamp,Breecamp,1040465.74625862,4673.2141321456,Breecamp
SDE1915766,SDE,2020,Zonne-energie,"213,750",52.499958,6.1337614,11.0,90.0,410.0,Herfte,Herfte,7623847.09543273,13915.743123537599,Herfte
SDE1915850,SDE,2023,Zonne-energie,"708,345",52.534526,6.1729359,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE1916001,SDE,2020,Zonne-energie,"350,892",52.491784,6.1244631,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1916830,SDE,2021,Zonne-energie,"819,347",52.509288,6.1377469,16.0,95.0,402.0,Veldhoek,Veldhoek,3208887.1281542,8476.613578610952,Veldhoek
SDE1917615,SDE,2020,Zonne-energie,"106,875",52.530155,6.1725409,65.0,144.0,404.0,Bedrijventerrein Hessenpoort,Bedrijventerrein Hessenpoort,6014803.37094493,11251.3590800168,Bedrijventerrein Hessenpoort
SDE1919560,SDE,2020,Zonne-energie,"97,037",52.5072,6.097708,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
SDE1922881,SDE,2019,Windenergie,"14,333",52.520888,6.1831097,11.0,90.0,410.0,Herfte,Herfte,7623847.09543273,13915.743123537599,Herfte
SDE1926239,SDE,2021,Zonne-energie,"41,682",52.489908,6.1252912,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1926706,SDE,2021,Zonne-energie,"479,712",52.497947,6.1213956,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1926725,SDE,2021,Zonne-energie,"64,838",52.489523,6.127931,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
SDE1928282,SDE,2023,Zonne-energie,"127,823",52.515489,6.0885447,30.0,109.0,110.0,Het noorden,Het Noorden,250575.999896122,2149.23921637447,Het Noorden
SDE1929527,SDE,2020,Windenergie,"13,748",52.556157,6.1743608,37.0,116.0,322.0,Haerst,Haerst,13150215.9604373,25404.8628740021,Haerst
SDE1929902,SDE,2022,Zonne-energie,"655,823",52.510421,6.0426833,60.0,139.0,212.0,Vreugderijk,Vreugderijk,3948383.61894746,9460.25818838226,Vreugderijk
SDE2011409,SDE,2021,Zonne-energie,"440,103",52.492857,6.1428715,62.0,141.0,411.0,Bedrijventerrein Marslanden,Bedrijventerrein Marslanden-Zuid,2620659.41620375,8350.98221663963,Bedrijventerrein Marslanden-Zuid
