postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie
8012AE,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8012AE,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Warmtepomp,Lucht-water >= 3
8012AG,Wijk 13 Assendorp,Nieuw-Assendorp,2021.0,Dakisolatie,Dakisolatie
8012AG,Wijk 13 Assendorp,Nieuw-Assendorp,2021.0,Gevelisolatie,Binnen- of buitengevelisolatie
8012AG,Wijk 13 Assendorp,Nieuw-Assendorp,2022.0,Glasisolatie,HR++ glas U <= 1
8012AG,Wijk 13 Assendorp,Nieuw-Assendorp,2023.0,Glasisolatie,HR++ glas U <= 1
8012AJ,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Warmtepomp,Lucht-water < 1 kW
8012AJ,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Dakisolatie,Dakisolatie
8012AK,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Dakisolatie,Dakisolatie
8012AK,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Gevelisolatie,Binnen- of buitengevelisolatie
8012AK,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Glasisolatie,HR++ glas U <= 1
8012AK,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Vloerisolatie,Vloerisolatie
8012AK,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8012AL,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8012AL,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Warmtepomp,Lucht-water < 1 kW
8012AM,Wijk 13 Assendorp,Nieuw-Assendorp,2021.0,Vloerisolatie,Bodemisolatie
8012AM,Wijk 13 Assendorp,Nieuw-Assendorp,2022.0,Dakisolatie,Dakisolatie
8012AM,Wijk 13 Assendorp,Nieuw-Assendorp,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie
8012AM,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Warmtepomp,Lucht-water >= 3
8012AN,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Dakisolatie,Dakisolatie
8012AS,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Dakisolatie,Dakisolatie
8012AS,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie
8012AS,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Glasisolatie,HR++ glas U <= 1
8012AS,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Vloerisolatie,Vloerisolatie
8012AS,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Dakisolatie,Dakisolatie
8012AS,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Dakisolatie,Dakisolatie
8012AS,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Glasisolatie,HR++ glas U <= 1
8012AV,Wijk 13 Assendorp,Oud-Assendorp,2025.0,Dakisolatie,Dakisolatie
8012BA,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Dakisolatie,Dakisolatie
8012BA,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Glasisolatie,HR++ glas U <= 1
8012BA,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Glasisolatie,Triple glas U <= 0
8012BA,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Vloerisolatie,Vloerisolatie
8012BA,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Dakisolatie,Dakisolatie
8012BA,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Glasisolatie,HR++ glas U <= 1
8012BA,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Vloerisolatie,Vloerisolatie
8012BA,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Warmtepomp,Lucht-water >= 3
8012BA,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Warmtepomp,Lucht-water >= 3
8012BB,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Dakisolatie,Dakisolatie
8012BB,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Glasisolatie,HR++ glas U <= 1
8012BB,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8012BB,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Vloerisolatie,Vloerisolatie
8012BB,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Glasisolatie,HR++ glas U <= 1
8012BC,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Vloerisolatie,Vloerisolatie
8012BD,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Vloerisolatie,Bodemisolatie
8012BD,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Warmtepomp,Lucht-water >= 3
8012BJ,Wijk 13 Assendorp,Nieuw-Assendorp,2023.0,Warmtepomp,Lucht-water < 1 kW
8012BK,Wijk 13 Assendorp,Nieuw-Assendorp,2023.0,Dakisolatie,Dakisolatie
8012BK,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW
8012BN,Wijk 13 Assendorp,Nieuw-Assendorp,2021.0,Spouwmuurisolatie,Spouwmuurisolatie
8012BN,Wijk 13 Assendorp,Nieuw-Assendorp,2021.0,Vloerisolatie,Vloerisolatie
8012BN,Wijk 13 Assendorp,Nieuw-Assendorp,2022.0,Dakisolatie,Dakisolatie
8012BN,Wijk 13 Assendorp,Nieuw-Assendorp,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8012BN,Wijk 13 Assendorp,Nieuw-Assendorp,2022.0,Vloerisolatie,Vloerisolatie
8012BN,Wijk 13 Assendorp,Nieuw-Assendorp,2023.0,Glasisolatie,HR++ glas U <= 1
8012BN,Wijk 13 Assendorp,Nieuw-Assendorp,2023.0,Glasisolatie,Triple glas U <= 0
8012BN,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Spouwmuurisolatie,Spouwmuurisolatie
8012BN,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Vloerisolatie,Vloerisolatie
8012BP,Wijk 13 Assendorp,Nieuw-Assendorp,2021.0,Glasisolatie,HR++ glas U <= 1
8012BP,Wijk 13 Assendorp,Nieuw-Assendorp,2021.0,Vloerisolatie,Vloerisolatie
8012BS,Wijk 13 Assendorp,Nieuw-Assendorp,2021.0,Spouwmuurisolatie,Spouwmuurisolatie
8012BS,Wijk 13 Assendorp,Nieuw-Assendorp,2022.0,Glasisolatie,HR++ glas U <= 1
8012BS,Wijk 13 Assendorp,Nieuw-Assendorp,2022.0,Glasisolatie,Isolerende deur Ud <= 1
8012BT,Wijk 13 Assendorp,Nieuw-Assendorp,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8012BT,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Spouwmuurisolatie,Spouwmuurisolatie
8012BV,Wijk 13 Assendorp,Nieuw-Assendorp,2021.0,Spouwmuurisolatie,Spouwmuurisolatie
8012BV,Wijk 13 Assendorp,Nieuw-Assendorp,2021.0,Vloerisolatie,Vloerisolatie
8012BV,Wijk 13 Assendorp,Nieuw-Assendorp,2022.0,Spouwmuurisolatie,Spouwmuurisolatie
8012BV,Wijk 13 Assendorp,Nieuw-Assendorp,2022.0,Vloerisolatie,Vloerisolatie
8012BV,Wijk 13 Assendorp,Nieuw-Assendorp,2023.0,Vloerisolatie,Vloerisolatie
8012BV,Wijk 13 Assendorp,Nieuw-Assendorp,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8012CA,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Warmtepomp,Lucht-water >= 3
8012CC,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Glasisolatie,HR++ glas U <= 1
8012CE,Wijk 13 Assendorp,Nieuw-Assendorp,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie
