telling,datum_afspraak_coachgesprek,postcode,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
87,2023-05-22,8032LM,52.537457640909096,6.090434222727272,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
88,2023-05-22,8032TE,52.539460824,6.100138764,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
89,2023-05-25,8015BR,52.47513754285714,6.120244066666666,41.0,120.0,512.0,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
90,2023-05-30,8032XG,52.53478981428572,6.0921179,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
91,2023-06-25,8032JG,52.53269881,6.10317225,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
92,2023-06-29,8012WX,52.50559745882353,6.104500923529412,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
93,2023-02-08,8012WN,52.505224931578944,6.1011538684210525,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
94,2023-08-14,8012DZ,52.50413297692308,6.105291823076923,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
95,2023-08-18,8012AJ,52.50445960434782,6.097707365217391,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
96,2023-08-24,8032GA,52.5301648882353,6.0980251,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
97,2023-04-09,8012DL,52.503231192307695,6.105483230769231,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
98,2023-09-15,8014PN,52.476479196666666,6.112715993333333,26.0,105.0,511.0,Ittersumerlanden,Ittersumerlanden,499928.54648337106,3019.9396243624997,Ittersumerlanden
99,2023-09-18,8033BH,52.532349571428576,6.1143250857142855,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
100,2023-09-20,8032DT,52.528615936,6.099633472,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
101,2023-09-22,8022BC,52.52316478888889,6.115009277777777,23.0,102.0,115.0,Hogenkamp,Hogenkamp,725490.5781418971,3731.5269156979803,Hogenkamp
102,2023-09-28,8032AH,52.525026885,6.10169039,56.0,135.0,310.0,Aalanden-zuid,Aa-landen-Zuid,541314.624175721,3550.93351606669,Aa-landen-Zuid
103,2023-02-10,8032GN,52.53106892,6.099794928571429,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
104,2023-11-10,8014PA,52.47779457619048,6.114691161904762,26.0,105.0,511.0,Ittersumerlanden,Ittersumerlanden,499928.54648337106,3019.9396243624997,Ittersumerlanden
105,2023-10-13,8012XS,52.50270332105263,6.108595915789474,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
106,2023-10-16,8033CK,52.53702447647059,6.111008082352941,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
107,2023-10-17,8016GC,52.48847277058824,6.097648952941176,35.0,114.0,504.0,Oldenelerlanden-oost,Oldenelerlanden-Oost,345481.748614459,2611.5209431469198,Oldenelerlanden-Oost
108,2023-10-20,8012CW,52.5017273625,6.1055552625,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
109,2023-10-24,8017NM,52.494629536842105,6.093510515789474,52.0,131.0,503.0,Schellerlanden,Schellerlanden,742067.008989016,4035.29345939015,Schellerlanden
110,2023-10-27,8032ZJ,52.53510281428572,6.09633895,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
111,2023-10-27,8012VH,52.50731582857143,6.102129478571428,59.0,138.0,131.0,Oud Assendorp,Oud-Assendorp,407812.988038862,3495.35421491358,Oud-Assendorp
112,2023-10-30,8014TM,52.47962013333333,6.115305206666667,26.0,105.0,511.0,Ittersumerlanden,Ittersumerlanden,499928.54648337106,3019.9396243624997,Ittersumerlanden
113,2023-10-30,8032KX,52.530025994736846,6.1066130526315785,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
114,2023-10-31,8032EE,52.52917831,6.09809185,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
115,2023-03-11,8032TV,52.53769077272728,6.100186186363636,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
116,2023-05-11,8031JM,52.52758555,6.07957135,14.0,93.0,302.0,Holtenbroek II,Holtenbroek II,863522.000070963,4169.921207657109,Holtenbroek II
117,2023-10-11,8031JB,52.52872229565217,6.076690865217391,14.0,93.0,302.0,Holtenbroek II,Holtenbroek II,863522.000070963,4169.921207657109,Holtenbroek II
118,2023-11-14,8014ZG,52.48654123333333,6.106891153333333,45.0,124.0,510.0,Oud Ittersum,Oud-Ittersum,352962.888170011,2585.98078242098,Oud-Ittersum
119,2023-11-14,8033AB,52.53200976666667,6.10974495,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
120,2023-11-14,8032GA,52.5301648882353,6.0980251,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
121,2023-11-14,8032GA,52.5301648882353,6.0980251,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
122,2023-11-15,8043TW,52.53845341125,6.0349070475,0.0,79.0,223.0,Werkeren,Werkeren,947984.770313538,4608.40478470321,Werkeren
