postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
8015DW,Wijk 51 Ittersum,Ittersumerbroek,2025.0,Warmtepomp,Lucht-water >= 3,52.47736732857143,6.115693857142857,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015DX,Wijk 51 Ittersum,Ittersumerbroek,2024.0,Warmtepomp,Lucht-water >= 3,52.47750115,6.11618638125,41,120,512,Ittersumerbroek,Ittersumerbroek,572907.543196894,3244.1241534414,Ittersumerbroek
8015ED,Wijk 51 Ittersum,Oude Mars,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.48190425185185,6.131179911111111,73,152,516,Oude Mars,Oude Mars,446480.875157832,2893.52349042491,Oude Mars
8015ED,Wijk 51 Ittersum,Oude Mars,2023.0,Warmtepomp,Lucht-water >= 3,52.48190425185185,6.131179911111111,73,152,516,Oude Mars,Oude Mars,446480.875157832,2893.52349042491,Oude Mars
8015EE,Wijk 51 Ittersum,Oude Mars,2023.0,Zonneboiler,> 5 m2 en <= 10 m2,52.48025495625,6.1285180625,73,152,516,Oude Mars,Oude Mars,446480.875157832,2893.52349042491,Oude Mars
8015EE,Wijk 51 Ittersum,Oude Mars,2024.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.48025495625,6.1285180625,73,152,516,Oude Mars,Oude Mars,446480.875157832,2893.52349042491,Oude Mars
8015PD,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2023.0,Dakisolatie,Dakisolatie,52.47025351333333,6.126263406666667,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PD,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2023.0,Warmtepomp,Lucht-water >= 3,52.47025351333333,6.126263406666667,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PE,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2022.0,Warmtepomp,Lucht-water >= 3,52.46912456,6.1378687,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PG,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2023.0,Warmtepomp,Lucht-water >= 3,52.46226983636364,6.142674109090909,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PG,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2023.0,Warmtepomp,Water-water >= 1 kW en <= 10 kW,52.46226983636364,6.142674109090909,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PG,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2023.0,Zonneboiler,> 10 m2 en < 200 m2,52.46226983636364,6.142674109090909,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PH,Wijk 52 Soestweteringlanden,Windesheim,2022.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.447187263636366,6.1318937227272725,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PH,Wijk 52 Soestweteringlanden,Windesheim,2023.0,Glasisolatie,HR++ glas U <= 1,52.447187263636366,6.1318937227272725,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PH,Wijk 52 Soestweteringlanden,Windesheim,2024.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.447187263636366,6.1318937227272725,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PH,Wijk 52 Soestweteringlanden,Windesheim,2024.0,Zonneboiler,<= 5 m2 zonneboilercombi,52.447187263636366,6.1318937227272725,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PL,Wijk 52 Soestweteringlanden,Windesheim,2021.0,Vloerisolatie,Vloerisolatie,52.44818878275862,6.130029413793103,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PL,Wijk 52 Soestweteringlanden,Windesheim,2022.0,Dakisolatie,Dakisolatie,52.44818878275862,6.130029413793103,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PL,Wijk 52 Soestweteringlanden,Windesheim,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.44818878275862,6.130029413793103,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PL,Wijk 52 Soestweteringlanden,Windesheim,2022.0,Glasisolatie,HR++ glas U <= 1,52.44818878275862,6.130029413793103,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PL,Wijk 52 Soestweteringlanden,Windesheim,2022.0,Glasisolatie,Triple glas U <= 0,52.44818878275862,6.130029413793103,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
